"date","state","cases","deaths","fips"
"2020-02-29","CABA",0,0,1
"2020-03-01","CABA",0,0,1
"2020-03-02","CABA",0,0,1
"2020-03-03","CABA",1,0,1
"2020-03-04","CABA",0,0,1
"2020-03-05","CABA",0,0,1
"2020-03-06","CABA",4,0,1
"2020-03-07","CABA",1,1,1
"2020-03-08","CABA",2,0,1
"2020-03-09","CABA",1,0,1
"2020-03-10","CABA",1,0,1
"2020-03-11","CABA",3,0,1
"2020-03-12","CABA",1,0,1
"2020-03-13","CABA",3,0,1
"2020-03-14","CABA",5,0,1
"2020-03-15","CABA",5,0,1
"2020-03-16","CABA",5,0,1
"2020-03-17","CABA",8,0,1
"2020-03-18","CABA",18,1,1
"2020-03-19","CABA",9,0,1
"2020-03-20","CABA",13,0,1
"2020-03-21","CABA",33,0,1
"2020-03-22","CABA",15,0,1
"2020-03-23","CABA",16,0,1
"2020-03-24","CABA",32,0,1
"2020-03-25","CABA",38,2,1
"2020-03-26","CABA",51,0,1
"2020-03-27","CABA",27,1,1
"2020-03-28","CABA",24,1,1
"2020-03-29","CABA",21,0,1
"2020-03-30","CABA",23,0,1
"2020-03-31","CABA",32,0,1
"2020-04-01","CABA",32,1,1
"2020-04-02","CABA",42,0,1
"2020-04-03","CABA",43,0,1
"2020-04-04","CABA",46,3,1
"2020-04-05","CABA",24,5,1
"2020-04-06","CABA",40,5,1
"2020-04-07","CABA",16,1,1
"2020-04-08","CABA",33,2,1
"2020-04-09","CABA",33,4,1
"2020-04-10","CABA",34,1,1
"2020-04-11","CABA",14,3,1
"2020-04-12","CABA",14,1,1
"2020-04-13","CABA",9,1,1
"2020-04-14","CABA",20,6,1
"2020-04-15","CABA",43,2,1
"2020-04-16","CABA",19,3,1
"2020-04-17","CABA",17,2,1
"2020-04-18","CABA",32,0,1
"2020-04-19","CABA",23,3,1
"2020-04-20","CABA",18,1,1
"2020-04-21","CABA",61,4,1
"2020-04-22","CABA",33,2,1
"2020-04-23","CABA",67,3,1
"2020-04-24","CABA",98,6,1
"2020-04-25","CABA",58,5,1
"2020-04-26","CABA",39,3,1
"2020-04-27","CABA",44,4,1
"2020-04-28","CABA",54,6,1
"2020-04-29","CABA",35,8,1
"2020-04-30","CABA",28,5,1
"2020-05-01","CABA",67,9,1
"2020-05-02","CABA",56,4,1
"2020-05-03","CABA",45,2,1
"2020-05-04","CABA",56,3,1
"2020-05-05","CABA",107,3,1
"2020-05-06","CABA",111,1,1
"2020-05-07","CABA",147,3,1
"2020-05-08","CABA",116,2,1
"2020-05-09","CABA",151,5,1
"2020-05-10","CABA",131,3,1
"2020-05-11","CABA",184,5,1
"2020-05-12","CABA",174,3,1
"2020-05-13","CABA",212,6,1
"2020-05-14","CABA",176,1,1
"2020-05-15","CABA",284,4,1
"2020-05-16","CABA",212,3,1
"2020-05-17","CABA",174,10,1
"2020-05-18","CABA",220,4,1
"2020-05-19","CABA",368,2,1
"2020-05-20","CABA",440,7,1
"2020-05-21","CABA",512,8,1
"2020-05-22","CABA",533,5,1
"2020-05-23","CABA",402,5,1
"2020-05-24","CABA",384,8,1
"2020-05-25","CABA",295,8,1
"2020-05-26","CABA",391,6,1
"2020-05-27","CABA",461,7,1
"2020-05-28","CABA",524,7,1
"2020-05-29","CABA",494,14,1
"2020-05-30","CABA",395,12,1
"2020-05-31","CABA",362,5,1
"2020-06-01","CABA",422,8,1
"2020-06-02","CABA",504,9,1
"2020-06-03","CABA",555,15,1
"2020-06-04","CABA",494,16,1
"2020-06-05","CABA",568,16,1
"2020-06-06","CABA",584,21,1
"2020-06-07","CABA",374,12,1
"2020-06-08","CABA",620,18,1
"2020-06-09","CABA",774,13,1
"2020-06-10","CABA",700,16,1
"2020-06-11","CABA",807,18,1
"2020-06-12","CABA",859,9,1
"2020-06-13","CABA",711,14,1
"2020-06-14","CABA",607,26,1
"2020-06-15","CABA",642,18,1
"2020-06-16","CABA",909,23,1
"2020-06-17","CABA",959,24,1
"2020-06-18","CABA",1066,25,1
"2020-06-19","CABA",1099,16,1
"2020-06-20","CABA",1038,22,1
"2020-06-21","CABA",908,24,1
"2020-06-22","CABA",1213,20,1
"2020-06-23","CABA",1296,25,1
"2020-06-24","CABA",1282,18,1
"2020-06-25","CABA",1359,23,1
"2020-06-26","CABA",1352,29,1
"2020-06-27","CABA",959,26,1
"2020-06-28","CABA",965,24,1
"2020-06-29","CABA",1143,21,1
"2020-06-30","CABA",1290,27,1
"2020-07-01","CABA",1209,27,1
"2020-07-02","CABA",1295,34,1
"2020-07-03","CABA",1535,29,1
"2020-07-04","CABA",1332,23,1
"2020-07-05","CABA",1102,40,1
"2020-07-06","CABA",1390,28,1
"2020-07-07","CABA",1500,37,1
"2020-07-08","CABA",1717,45,1
"2020-07-09","CABA",1459,36,1
"2020-07-10","CABA",1413,44,1
"2020-07-11","CABA",1255,38,1
"2020-07-12","CABA",994,42,1
"2020-07-13","CABA",1570,53,1
"2020-07-14","CABA",1740,61,1
"2020-07-15","CABA",1765,52,1
"2020-07-16","CABA",1716,56,1
"2020-07-17","CABA",2010,54,1
"2020-07-18","CABA",1713,60,1
"2020-07-19","CABA",1368,58,1
"2020-07-20","CABA",2046,56,1
"2020-07-21","CABA",2188,57,1
"2020-07-22","CABA",2002,59,1
"2020-07-23","CABA",2050,47,1
"2020-07-24","CABA",2164,63,1
"2020-07-25","CABA",1553,37,1
"2020-07-26","CABA",1619,51,1
"2020-07-27","CABA",1759,66,1
"2020-07-28","CABA",1962,55,1
"2020-07-29","CABA",2066,61,1
"2020-07-30","CABA",2072,55,1
"2020-07-31","CABA",2125,46,1
"2020-08-01","CABA",1780,47,1
"2020-08-02","CABA",1708,72,1
"2020-08-03","CABA",2324,53,1
"2020-08-04","CABA",2512,50,1
"2020-08-05","CABA",2653,59,1
"2020-08-06","CABA",2297,59,1
"2020-08-07","CABA",2149,46,1
"2020-08-08","CABA",1850,40,1
"2020-08-09","CABA",1705,62,1
"2020-08-10","CABA",2108,50,1
"2020-08-11","CABA",2058,42,1
"2020-08-12","CABA",2240,66,1
"2020-08-13","CABA",2268,56,1
"2020-08-14","CABA",2195,61,1
"2020-08-15","CABA",1815,55,1
"2020-08-16","CABA",1382,57,1
"2020-08-17","CABA",1562,56,1
"2020-08-18","CABA",2040,49,1
"2020-08-19","CABA",2386,50,1
"2020-08-20","CABA",2239,42,1
"2020-08-21","CABA",2061,40,1
"2020-08-22","CABA",1973,50,1
"2020-08-23","CABA",1372,48,1
"2020-08-24","CABA",2311,57,1
"2020-08-25","CABA",2406,49,1
"2020-08-26","CABA",2664,52,1
"2020-08-27","CABA",2796,59,1
"2020-08-28","CABA",2567,42,1
"2020-08-29","CABA",2103,37,1
"2020-08-30","CABA",1767,62,1
"2020-08-31","CABA",2275,43,1
"2020-09-01","CABA",2406,60,1
"2020-09-02","CABA",2211,57,1
"2020-09-03","CABA",2293,51,1
"2020-09-04","CABA",1946,51,1
"2020-09-05","CABA",2112,51,1
"2020-09-06","CABA",1415,50,1
"2020-09-07","CABA",2067,52,1
"2020-09-08","CABA",2320,48,1
"2020-09-09","CABA",2397,63,1
"2020-09-10","CABA",2152,38,1
"2020-09-11","CABA",2258,72,1
"2020-09-12","CABA",1654,48,1
"2020-09-13","CABA",1334,48,1
"2020-09-14","CABA",1706,48,1
"2020-09-15","CABA",1836,53,1
"2020-09-16","CABA",1857,37,1
"2020-09-17","CABA",2027,40,1
"2020-09-18","CABA",1614,46,1
"2020-09-19","CABA",1448,40,1
"2020-09-20","CABA",935,39,1
