Name,Collection Score,Level,Arena Rank,Donations,Last Login
Ikaedih,266539,65,3560,464,2020-09-26
Ronik,169639,63,3456,588,2020-09-26
r0ny,148545,64,3561,637,2020-09-26
Loitzune,140868,65,5387,735,2020-09-26
Txutxy,127661,64,4254,638,2020-09-26
☆Gasphernus☆,125380,63,3109,536,2020-09-26
Hiros,124534,64,3483,653,2020-09-26
ACastro98,121411,62,2018,209,2020-09-26
MonitoStrike,116827,63,3138,128,2020-09-26
Berjilius,115704,63,3205,619,2020-09-26
Fredo,115662,63,4086,567,2020-09-26
Bruxen,115225,63,3449,621,2020-09-26
Aromaz,109769,61,2043,5,2020-09-26
Huco,109298,63,3407,609,2020-09-26
Martibrum,107964,63,2776,609,2020-09-26
DesmondMiles,104214,63,2548,395,2020-09-26
vanenav86,103563,63,2985,684,2020-09-26
ismaellc,103195,63,5011,581,2020-09-26
Pandita,103088,61,2729,363,2020-09-26
alex87,102865,62,2564,447,2020-09-26
Amérendar,102734,64,4028,334,2020-09-26
Palito.inc,102690,62,2631,331,2020-09-26
Tutti,102034,63,3360,612,2020-09-26
xJeLLy,101815,63,3490,616,2020-09-26
Alvaro,101644,61,4001,571,2020-09-26
Surfer,100266,58,3636,175,2020-09-26
Piscu,100196,56,1658,10,2020-09-26
LittleSabia,97396,63,3087,460,2020-09-26
Pahoehoe,97080,62,3007,515,2020-09-26
Hamilkar,95897,63,3093,575,2020-09-26
LUISBTABTZ,94907,60,2489,20,2020-09-26
superpapin,94840,60,3110,453,2020-09-26
plate87,93838,63,2977,561,2020-09-26
sandradisney,93659,56,1208,5,2020-09-26
lola,92105,60,2582,64,2020-09-26
Saisem,91435,63,3989,739,2020-09-26
GhosTrident,91203,63,4032,264,2020-09-26
SurferPaul,91177,58,2445,298,2020-09-26
Rojero,89703,57,1522,123,2020-09-26
MaxiBella,88742,63,3038,5,2020-09-26
Cecerux,87101,62,2367,102,2020-09-26
vittorio972,84834,63,3016,80,2020-09-26
Brajamaro,84025,59,1408,417,2020-09-26
Llebea,80128,61,1681,10,2020-09-26
DisneySpain20,78039,58,1622,366,2020-09-26
Robertiox,75679,57,1769,446,2020-09-26
sHiraN,74287,55,2322,509,2020-09-26
LeonaWu-Woman,74009,54,1253,451,2020-09-26
MALSEN,,,,332,2020-09-26
Greekgeek,,,,258,2020-09-26
Ikaedih,284396,66,3122,486,2020-10-03
Ronik,173663,63,3090,581,2020-10-03
r0ny,152208,65,3115,657,2020-10-03
Loitzune,150453,67,5100,770,2020-10-03
Txutxy,135162,65,4038,665,2020-10-03
Hiros,131445,65,3098,678,2020-10-03
☆Gasphernus☆,129597,64,3070,558,2020-10-03
ACastro98,123080,63,2000,223,2020-10-03
MonitoStrike,121630,64,3038,157,2020-10-03
Bruxen,121302,64,4084,643,2020-10-03
Berjilius,121107,64,2963,645,2020-10-03
Fredo,120594,63,4062,583,2020-10-03
Huco,117384,64,3204,636,2020-10-03
Martibrum,115541,63,2596,622,2020-10-03
Aromaz,115185,62,1990,40,2020-10-03
alex87,112188,63,2534,482,2020-10-03
Palito.inc,109750,63,2435,356,2020-10-03
vanenav86,109383,64,2545,715,2020-10-03
Tutti,109372,64,3102,633,2020-10-03
Amérendar,109187,65,4009,369,2020-10-03
DesmondMiles,109128,64,2596,393,2020-10-03
ismaellc,108725,64,4992,601,2020-10-03
Pandita,108324,61,2512,375,2020-10-03
Surfer,107562,59,4148,182,2020-10-03
xJeLLy,107117,64,3105,641,2020-10-03
Alvaro,105544,62,3000,580,2020-10-03
Piscu,105064,57,1555,40,2020-10-03
LittleSabia,103680,63,3010,459,2020-10-03
Pahoehoe,101099,63,3039,513,2020-10-03
Hamilkar,101056,64,3065,592,2020-10-03
LUISBTABTZ,99786,61,2561,49,2020-10-03
plate87,98144,63,2503,564,2020-10-03
superpapin,97791,61,2991,453,2020-10-03
lola,97384,60,2530,94,2020-10-03
GhosTrident,97029,64,4043,296,2020-10-03
Saisem,95862,64,3235,774,2020-10-03
sandradisney,95471,57,1252,40,2020-10-03
vittorio972,94194,64,3015,115,2020-10-03
SurferPaul,93986,59,2561,323,2020-10-03
Rojero,93137,58,1675,149,2020-10-03
MaxiBella,91363,64,3013,40,2020-10-03
Brajamaro,87962,60,1506,439,2020-10-03
Llebea,84568,62,1497,36,2020-10-03
DisneySpain20,81398,58,1532,387,2020-10-03
sHiraN,78487,56,2575,509,2020-10-03
Robertiox,77609,57,1550,463,2020-10-03
GustavoCG,,,,15,2020-10-03
MALSEN,,,,359,2020-10-03
Greekgeek,,,,278,2020-10-03
Moxxi,,,,0,2020-10-03
Ikaedih,307026,67,3526,521,2020-10-10
Ronik,183684,64,3419,606,2020-10-10
r0ny,165430,66,3513,687,2020-10-10
Loitzune,158279,67,5423,805,2020-10-10
Txutxy,145455,66,4198,693,2020-10-10
Hiros,138539,65,3716,713,2020-10-10
☆Gasphernus☆,136666,65,3159,590,2020-10-10
Bruxen,129721,65,4246,668,2020-10-10
MonitoStrike,127941,65,3370,192,2020-10-10
Fredo,127494,64,4210,613,2020-10-10
Berjilius,127068,65,3272,675,2020-10-10
Huco,124945,65,3595,668,2020-10-10
Aromaz,122255,63,2013,75,2020-10-10
alex87,121388,64,2710,517,2020-10-10
Martibrum,119398,64,2885,648,2020-10-10
Amérendar,115486,65,4018,404,2020-10-10
Palito.inc,115465,63,2587,386,2020-10-10
DesmondMiles,114677,64,2964,419,2020-10-10
vanenav86,114513,65,2762,750,2020-10-10
Tutti,114246,64,3393,668,2020-10-10
Pandita,113866,62,2821,408,2020-10-10
Surfer,113019,60,4158,191,2020-10-10
ismaellc,111910,65,4945,637,2020-10-10
Piscu,110707,57,1838,75,2020-10-10
xJeLLy,110181,65,3480,671,2020-10-10
Alvaro,110070,62,3393,605,2020-10-10
LittleSabia,109465,64,3234,474,2020-10-10
Hamilkar,105033,64,3305,632,2020-10-10
