id,nombre,abreviatura
1,FE.CO.TE.ME.,CBA
3,F.M.T.M.,MZA
4,A.SA.TE.ME.,SFE
5,FE.TE.M.BA,FET
6,ASO.SA.TE.ME.,SLU
7,A.T.M.L.P.,LPA
8,A.S.T.M.,SAL
9,A.TE.M.JU,JUJ
10,A.F.T.M.,FOR
11,FE.BA.TE.M.,FBA
12,F.A.T.M.,FAT
13,A.C.R.J.T.M.,RNE
14,A.CHA.T.MA,CHA
15,F.C.T.M.,COR
16,Entre Rios,ENR
17,FE.MI.TE.M.,MIS
18,T.D.ME.N.,NQN
19,San Juan,SJU
20,Santa Cruz,SCR
21,Sgo.del Estero,SDE
22,Tucuman,TUC
23,BRASIL,BRA
24,CHILE,CHI
25,PERU,PER
26,PARAGUAY,PAR
27,URUGUAY,URU
28,COLOMBIA,COL
29,VENEZUELA,VEN
30,Catamarca,CAT
31,Chubut,CHU
32,La Rioja,LRI
33,Tierra del Fuego,TDF
34,LIBRE,LIB
35,BOLIVIA,BOL
36,ECUADOR,ECU
37,GEPU (SNL),SNL
38,Sgo.del Estero N,SEN
39,ASPATEM,PAR
40,ESTADOS UNIDOS,USA
